district,issue_year,net_new_units,cumulative_net_new_units
District 01,2021,127,127
District 01,2022,140,267
District 01,2023,123,390
District 01,2024,112,502
District 01,2025,181,683
District 01,2026,56,739
District 02,2021,183,183
District 02,2022,225,408
District 02,2023,168,576
District 02,2024,185,761
District 02,2025,803,1564
District 02,2026,200,1764
District 03,2021,425,425
District 03,2022,172,597
District 03,2023,376,973
District 03,2024,293,1266
District 03,2025,468,1734
District 03,2026,260,1994
District 04,2021,28,28
District 04,2022,36,64
District 04,2023,33,97
District 04,2024,81,178
District 04,2025,112,290
District 04,2026,18,308
District 05,2021,267,267
District 05,2022,2018,2285
District 05,2023,1483,3768
District 05,2024,4270,8038
District 05,2025,2719,10757
District 05,2026,1518,12275
District 06,2021,41,41
District 06,2022,1381,1422
District 06,2023,1861,3283
District 06,2024,796,4079
District 06,2025,247,4326
District 06,2026,44,4370
District 07,2021,2101,2101
District 07,2022,932,3033
District 07,2023,6890,9923
District 07,2024,465,10388
District 07,2025,119,10507
District 07,2026,632,11139
District 08,2021,1551,1551
District 08,2022,2498,4049
District 08,2023,1011,5060
District 08,2024,1995,7055
District 08,2025,1444,8499
District 08,2026,1562,10061
District 09,2021,272,272
District 09,2022,257,529
District 09,2023,446,975
District 09,2024,1108,2083
District 09,2025,860,2943
District 09,2026,20,2963
District 10,2021,969,969
District 10,2022,1922,2891
District 10,2023,227,3118
District 10,2024,524,3642
District 10,2025,1420,5062
District 10,2026,28,5090
District 11,2021,386,386
District 11,2022,221,607
District 11,2023,510,1117
District 11,2024,720,1837
District 11,2025,869,2706
District 11,2026,750,3456
District 12,2021,203,203
District 12,2022,470,673
District 12,2023,105,778
District 12,2024,205,983
District 12,2025,384,1367
District 12,2026,27,1394
District 13,2021,327,327
District 13,2022,379,706
District 13,2023,157,863
District 13,2024,184,1047
District 13,2025,156,1203
District 13,2026,63,1266
District 14,2021,313,313
District 14,2022,581,894
District 14,2023,1822,2716
District 14,2024,1350,4066
District 14,2025,143,4209
District 14,2026,761,4970
District 15,2020,1,1
District 15,2021,282,283
District 15,2022,540,823
District 15,2023,338,1161
District 15,2024,289,1450
District 15,2025,1009,2459
District 15,2026,25,2484
District 16,2020,1,1
District 16,2021,1052,1053
District 16,2022,1246,2299
District 16,2023,728,3027
District 16,2024,1789,4816
District 16,2025,857,5673
District 16,2026,733,6406
Unidentified,2021,18,18
Unidentified,2022,169,187
Unidentified,2023,1,188
Unidentified,2024,388,576
Unidentified,2025,2,578
Unidentified,2026,0,578
