category_norm,year,projects
Art & Cultural Assets,2021,2
Bridges,2021,7
Buildings,2013,40
Buildings,2014,37
Buildings,2015,17
Buildings,2016,65
Buildings,2017,56
Buildings,2018,72
Buildings,2019,44
Buildings,2021,55
Business Systems,2021,24
Community & Property Development,2013,8
Community & Property Development,2014,7
Community & Property Development,2015,3
Equipment & Fleet,2014,3
Equipment & Fleet,2017,4
Equipment & Fleet,2018,6
Equipment & Fleet,2019,2
Equipment & Fleet,2021,7
Halifax Water,2017,2
Industrial Parks,2013,1
Industrial Parks,2014,6
Industrial Parks,2015,2
Landfill,2021,1
Outdoor Sport Facilities,2021,1
Parks & Playgrounds,2013,34
Parks & Playgrounds,2014,68
Parks & Playgrounds,2015,44
Parks & Playgrounds,2016,46
Parks & Playgrounds,2017,85
Parks & Playgrounds,2018,174
Parks & Playgrounds,2019,52
Parks & Playgrounds,2021,55
Roads,2013,51
Roads,2014,110
Roads,2015,75
Roads,2016,208
Roads,2017,222
Roads,2018,314
Roads,2019,155
Roads,2021,110
Sidewalks,2013,54
Sidewalks,2014,38
Sidewalks,2015,28
Solid Waste,2013,4
Solid Waste,2014,8
Solid Waste,2015,7
Solid Waste,2016,4
Solid Waste,2017,6
Solid Waste,2018,9
Solid Waste,2019,4
Traffic Improvements,2013,23
Traffic Improvements,2014,20
Traffic Improvements,2015,25
Traffic Improvements,2016,10
Traffic Improvements,2017,20
Traffic Improvements,2018,22
Traffic Improvements,2019,22
Transit,2013,5
Transit,2014,13
Transit,2015,4
Transit,2016,3
Transit,2017,13
Transit,2018,26
Transit,2019,7
