"commodity","fiscal_year","total_of_registered_farms"
"Apples","2015-2016","91"
"Beef","2015-2016","612"
"Blueberries","2015-2016","415"
"Breeding Horses","2015-2016","29"
"Chicken","2015-2016","88"
"Christmas Trees","2015-2016","25"
"Custom Work","2015-2016","42"
"Dairy","2015-2016","239"
"Eggs","2015-2016","52"
"Forage","2015-2016","225"
"Fox","2015-2016","2"
"Goats","2015-2016","10"
"Grain","2015-2016","77"
"Greenhouse Crops","2015-2016","37"
"Hogs","2015-2016","33"
"Honey, Bees, Pollination","2015-2016","42"
"Maple","2015-2016","34"
"Mink","2015-2016","106"
"Nursery Sod","2015-2016","11"
"Other","2015-2016","172"
"Sheep/Lamb","2015-2016","92"
"Strawberries","2015-2016","26"
"Turkey","2015-2016","7"
"Vegetable Crops","2015-2016","134"
"Apples","2016-2017","23"
"Beef","2016-2017","92"
"Blueberries","2016-2017","30"
"Breeding Horses","2016-2017","44"
"Chicken","2016-2017","236"
"Christmas Trees","2016-2017","49"
"Custom Work","2016-2017","215"
"Dairy","2016-2017","3"
"Eggs","2016-2017","17"
"Forage","2016-2017","63"
"Fox","2016-2017","57"
"Goats","2016-2017","38"
"Grain","2016-2017","24"
"Greenhouse Crops","2016-2017","36"
"Hogs","2016-2017","50"
"Honey, Bees, Pollination","2016-2017","7"
"Maple","2016-2017","36"
"Mink","2016-2017","93"
"Nursery Sod","2016-2017","11"
"Other","2016-2017","118"
"Sheep/Lamb","2016-2017","85"
"Strawberries","2016-2017","97"
"Strawberries","2016-2017","30"
"Turkey","2016-2017","7"
"Turkey","2016-2017","611"
"Vegetable Crops","2016-2017","137"
"Vegetable Crops","2016-2017","407"
"Apples","2017-2018","25"
"Beef","2017-2018","96"
"Blueberries","2017-2018","29"
"Breeding Horses","2017-2018","32"
"Chicken","2017-2018","226"
"Christmas Trees","2017-2018","50"
"Custom Work","2017-2018","228"
"Dairy","2017-2018","3"
"Eggs","2017-2018","20"
"Forage","2017-2018","63"
"Fox","2017-2018","59"
"Goats","2017-2018","28"
"Grain","2017-2018","23"
"Grapes","2017-2018","30"
"Greenhouse Crops","2017-2018","53"
"Haskaps","2017-2018","7"
"Hogs","2017-2018","36"
"Honey, Bees, Pollination","2017-2018","81"
"Hops","2017-2018","8"
"Maple","2017-2018","165"
"Mink","2017-2018","91"
"Nursery Sod","2017-2018","25"
"Other","2017-2018","7"
"Sheep/Lamb","2017-2018","142"
"Strawberries","2017-2018","94"
"Turkey","2017-2018","590"
"Vegetable Crops","2017-2018","374"
"Apples","2018-2019",
"Beef","2018-2019","90"
"Blueberries","2018-2019","36"
"Breeding Horses","2018-2019","40"
"Chicken","2018-2019","234"
"Christmas Trees","2018-2019","46"
"Custom Work","2018-2019","211"
"Dairy","2018-2019","2"
"Eggs","2018-2019",
"Forage","2018-2019","55"
"Fox","2018-2019","43"
"Goats","2018-2019","36"
"Grain","2018-2019","9"
"Grapes","2018-2019","34"
"Greenhouse Crops","2018-2019","60"
"Haskaps","2018-2019","2"
"Hogs","2018-2019","40"
"Honey, Bees, Pollination","2018-2019","66"
"Hops","2018-2019",
"Maple","2018-2019","269"
"Mink","2018-2019","79"
"Nursery Sod","2018-2019","24"
"Other","2018-2019","6"
"Sheep/Lamb","2018-2019","129"
"Strawberries","2018-2019","94"
"Turkey","2018-2019","598"
"Vegetable Crops","2018-2019","380"
"Apples","2019-2020",
"Beef","2019-2020","91"
"Blueberries","2019-2020","36"
"Breeding Horses","2019-2020","36"
"Chicken","2019-2020","210"
"Christmas Trees","2019-2020","43"
"Custom Work","2019-2020","229"
"Dairy","2019-2020","4"
"Eggs","2019-2020",
"Forage","2019-2020","56"
"Fox","2019-2020","68"
"Goats","2019-2020","35"
"Grain","2019-2020","24"
"Grapes","2019-2020","27"
"Greenhouse Crops","2019-2020","51"
"Haskaps","2019-2020","3"
"Hogs","2019-2020","41"
"Honey, Bees, Pollination","2019-2020","50"
"Hops","2019-2020","4"
"Maple","2019-2020","225"
"Mink","2019-2020","89"
"Nursery Sod","2019-2020","26"
"Other","2019-2020","6"
"Sheep/Lamb","2019-2020","130"
"Strawberries","2019-2020","88"
"Turkey","2019-2020","557"
"Vegetable Crops","2019-2020","330"
"Apples","2020-2021","188"
"Beef","2020-2021","186"
"Blueberries","2020-2021","48"
"Breeding Horses","2020-2021","160"
"Chicken","2020-2021","358"
"Christmas Trees","2020-2021","3"
"Custom Work","2020-2021","144"
"Dairy","2020-2021","76"
"Eggs","2020-2021","68"
"Forage","2020-2021","29"
"Fox","2020-2021","8"
"Goats","2020-2021","46"
"Grain","2020-2021","124"
"Grapes","2020-2021","61"
"Greenhouse Crops","2020-2021","10"
"Haskaps","2020-2021","284"
"Hogs","2020-2021","67"
"Honey, Bees, Pollination","2020-2021","21"
"Hops","2020-2021","4"
"Maple","2020-2021","148"
"Mink","2020-2021","47"
"Nursery Sod","2020-2021","57"
"Other","2020-2021","56"
"Sheep/Lamb","2020-2021","233"
"Strawberry","2020-2021","166"
"Turkey","2020-2021","66"
"Vegetable Crop","2020-2021","11"
"Apple","2021-2022","76"
"Beef","2021-2022","446"
"Chicken","2021-2022","73"
"Christmas Tree","2021-2022","28"
"Cranberries","2021-2022","28"
"Custom Work","2021-2022","180"
"Dairy Milk Production","2021-2022","12"
"Dairy Replacements","2021-2022","39"
"Egg","2021-2022","178"
"Forage","2021-2022","42"
"Fox","2021-2022","55"
"Grain","2021-2022","30"
"Grapes","2021-2022","13"
"Greenhouse Crop","2021-2022","26"
"Haskaps","2021-2022","37"
"Hemp","2021-2022","47"
"High Bush Blueberries","2021-2022","6"
"Hog","2021-2022","233"
"Honey, Bees, Pollination","2021-2022","29"
"Hops","2021-2022","21"
"Low Bush Blueberries","2021-2022","181"
"Maple","2021-2022","59"
"Mink","2021-2022","9"
"Oilseeds","2021-2022","23"
"Sheep/Lamb","2021-2022","8"
"Small Fruits","2021-2022","104"
"Apple","2022-2023","66"
"Beef","2022-2023","421"
"Chicken","2022-2023","64"
"Christmas Tree","2022-2023","36"
"Custom Work","2022-2023","30"
"Dairy Milk Production","2022-2023","169"
"Dairy Replacements","2022-2023","5"
"Egg","2022-2023","34"
"Forage","2022-2023","156"
"Grain/Oilseed","2022-2023","34"
"Grapes","2022-2023","50"
"Greenhouse Crop","2022-2023","31"
"Haskaps/Hops","2022-2023","12"
"High Bush Blueberries","2022-2023","13"
"Hog","2022-2023","35"
"Honey, Bees, Pollination","2022-2023","38"
"Hops","2022-2023",
"Low Bush Blueberries","2022-2023","209"
"Maple","2022-2023","36"
"Mink/Fox","2022-2023","20"
"Other","2022-2023","178"
"Sheep/Lamb","2022-2023","66"
"Small Fruits","2022-2023",
"Strawberry","2022-2023","22"
"Turkey","2022-2023","6"
"Vegetable Crop","2022-2023","101"
"Apple","2023-2024","78"
"Beef","2023-2024","450"
"Chicken","2023-2024","90"
"Christmas Tree","2023-2024","43"
"Custom Work","2023-2024","39"
"Dairy Milk Production","2023-2024","194"
"Dairy Replacements","2023-2024","8"
"Egg","2023-2024","41"
"Forage","2023-2024","156"
"Grain/Oilseed","2023-2024","51"
"Grapes","2023-2024","61"
"Greenhouse Crop","2023-2024","34"
"Haskaps/Hops","2023-2024","13"
"High Bush Blueberries","2023-2024","17"
"Hog","2023-2024","35"
"Honey, Bees, Pollination","2023-2024","43"
"Hops","2023-2024",
"Low Bush Blueberries","2023-2024","251"
"Maple","2023-2024","34"
"Mink/Fox","2023-2024","17"
"Other","2023-2024","182"
"Sheep/Lamb","2023-2024","62"
"Small Fruits","2023-2024","4"
"Strawberry","2023-2024","27"
"Turkey","2023-2024","3"
"Vegetable Crop","2023-2024","99"
"Apple","2024-2025","73"
"Beef","2024-2025","431"
"Chicken/Turkey","2024-2025","84"
"Christmas Tree","2024-2025","32"
"Custom Work","2024-2025","28"
"Dairy Milk Production","2024-2025","174"
"Dairy Replacements","2024-2025","7"
"Egg","2024-2025","44"
"Forage","2024-2025","159"
"Grain/Oilseed","2024-2025","40"
"Grapes","2024-2025","62"
"Greenhouse Crop","2024-2025","26"
"Haskap/Hops","2024-2025","9"
"High Bush Blueberries","2024-2025","13"
"Hog","2024-2025","24"
"Honey, Bees, Pollination","2024-2025","46"
"Hops","2024-2025",
"Low Bush Blueberries","2024-2025","216"
"Maple","2024-2025","38"
"Mink/Fox","2024-2025","17"
"Other","2024-2025","184"
"Sheep/Lamb","2024-2025","60"
"Small Fruits","2024-2025","3"
"Strawberry","2024-2025","24"
"Turkey","2024-2025",
"Vegetable Crop","2024-2025","88"
