"report_year","co_ops","co_ops_reporting","new_incorporations","restorations","amalgamations","amalgamated","co_ops_struck","_of_co_ops_as_of_dec_31","financial_statements_reported","total_income","total_expenses","net_income","total_assets","total_liability","total_equity","renewal_statements_reported","full_time_employees","part_time_employees","total_employees","total_members","_co_ops_boards_filled","_co_ops_agm_held","_co_ops_quorum_at_agm","_co_ops_mbrs_approved_fins","avg_of_board_meeting","avg_of_member_meetings","avg_of_educational_event","total_board_meetings","total_member_meetings","members_at_educational_event","co_ops_boards_filled_2","co_ops_quorum_at_agm_2","co_ops_agm_held_2","co_ops_mbrs_approved_fins_2"
"2015","353","303","12","1","1","2","9","342","297","367161018","367742166","-581148","273449067","158965531","114483534","296","888","951","1839","45726","88","96","94","91","7","3","8","1965","967","2490","260","278","285","268"
"2016","357","302","15","0","0","0","24","333","297","428879455","439069324","-10189869","255954629","156078953","99875675","291","916","745","1661","41588","90","94","93","91","6","3","12","1840","833","3607","263","271","274","266"
"2017","349","300","16","0","0","0","23","326","296","279434336","275343527","4090809","166898915","97358671","69540246","286","674","782","1456","42218","90","97","96","94","6","3","8","1854","800","2231","256","275","278","268"
"2018","336","299","9","1","0","0","5","331","294","350991616","329021557","21970059","184721435","98974460","85746976","286","657","646","1303","42769","85","99","98","95","6","3","11","1763","799","3103","243","279","283","272"
"2019","340","283","7","1","1","2","16","322","280","332280383","325261196","7019187","168112007","86546669","81565335","276","747","568","1315","37317","89","91","91","86","6","3","9","1702","781","2512","246","251","251","237"
"2020","333","269","10","0","1","2","9","322","266","303121690","293311249","9810440","166825644","82829067","84042252","265","852","565","1417","41907","88","84","84","81","6","2","10","1558","635","2664","234","222","223","215"
"2021","333","259","10","0","1","2","1","330","259","308419823","294010202","14409622","184597862","86243125","98354734","249","722","656","1378","40715","93","92","92","93","6","3","7","1489","720","1848","231","228","229","232"
"2022","342","248","10","1","2","4","0","338","248","297479335","289930809","7548526","191056476","88733679","102322798","241","762","591","1353","39101","96","98","98","97","7","3","10","1654","712","2337","232","236","236","234"
"2023","351","245","13","0","0","0","5","346","244","333850260","327105167","6745093","238566093","135069297","103496799","237","862","586","1448","43349","98","100","100","100","7","3","9","1551","666","2074","232","237","237","236"
"2024","359","226","12","0","0","0","1","358","226","334126998","328789797","5337201","268476908","163131045","105345863","209","790","546","1336","40740","97","100","100","100","7","3","11","1446","653","2278","202","209","209","208"
