customer_id,plan,signup_month,month,mrr
C001,Pro,2025-01,2025-01,200.00
C001,Pro,2025-01,2025-02,200.00
C001,Pro,2025-01,2025-03,200.00
C001,Pro,2025-01,2025-04,300.00
C001,Pro,2025-01,2025-05,300.00
C002,Basic,2025-01,2025-01,50.00
C002,Basic,2025-01,2025-02,50.00
C002,Basic,2025-01,2025-03,50.00
C003,Enterprise,2025-01,2025-01,800.00
C003,Enterprise,2025-01,2025-02,800.00
C003,Enterprise,2025-01,2025-03,1000.00
C003,Enterprise,2025-01,2025-04,1000.00
C003,Enterprise,2025-01,2025-05,1000.00
C004,Pro,2025-02,2025-02,200.00
C004,Pro,2025-02,2025-03,200.00
C004,Pro,2025-02,2025-04,150.00
C004,Pro,2025-02,2025-05,150.00
C005,Basic,2025-02,2025-02,50.00
C005,Basic,2025-02,2025-03,50.00
C005,Basic,2025-02,2025-04,50.00
C005,Basic,2025-02,2025-05,50.00
C006,Enterprise,2025-03,2025-03,800.00
C006,Enterprise,2025-03,2025-04,800.00
C006,Enterprise,2025-03,2025-05,800.00
C007,Pro,2025-03,2025-03,200.00
C007,Pro,2025-03,2025-04,200.00
C007,Pro,2025-03,2025-05,200.00
C008,Basic,2025-04,2025-04,50.00
C008,Basic,2025-04,2025-05,50.00
C009,Pro,2025-04,2025-04,200.00
C009,Pro,2025-04,2025-05,200.00
C010,Basic,2025-05,2025-05,50.00
